sentence,word_count,confidence,date,time,original_audio
 What's the difference in water?,5,0.5235736966133118,07/17/21,21:52,210717_2152.wav
" Yeah, no fuck yeah. Go for it.",7,0.9043559432029724,07/17/21,21:52,210717_2152.wav
" Just, I think you got to just let loose man.",10,0.8741661310195923,07/17/21,21:52,210717_2152.wav
" I have a guy. I know, I know what you mean.",11,0.924027979373932,07/17/21,21:52,210717_2152.wav
 Maurice.,1,0.3519763946533203,07/17/21,21:52,210717_2152.wav
" Okay, so that's that's look at like",7,0.6566184759140015,07/17/21,21:52,210717_2152.wav
 I know I'm not.,4,0.8401086330413818,07/17/21,21:52,210717_2152.wav
 She has to think that she's one.,7,0.925358772277832,07/17/21,21:52,210717_2152.wav
" Right. If I'm if it's how, how would I would feel?",11,0.7226917743682861,07/17/21,21:52,210717_2152.wav
 I know I should.,4,0.8332372903823853,07/17/21,21:52,210717_2152.wav
" Let's look at like the situation who she is, right? I mean memories like someone who is",17,0.9269461631774902,07/17/21,21:52,210717_2152.wav
" Kills herself. As like I'm going to be like going to be really well liked by a lot of different people, right? She wants even if she's in an abusive relationship. Feel like we're passed away that because she doesn't want to necessarily. She wants to have like you always want to be chill with that. She always wants to be cool with that. She never wants to be like putting limits on anyting. She never wants to do. She always wants to be like, accept it? And that's like, she's, she needs to be fucking, you accept it, right? And if anyone, like, doesn't accept the fucking beautiful, but if anyone doesn't want to accept her. Yeah,",118,0.957230508327484,07/17/21,21:52,210717_2152.wav
" No one will if people don't want to accept that, then she freaks out. You know, and she will go fucking manic. She'll go crazy and she'll be like, okay, if this passes don't with me, then he's against me. I'm going to fucking shit up, rice and cheese.",49,0.9467593431472778,07/17/21,21:52,210717_2152.wav
" She looks more like validation in like every other area I guess, because of it, right? So if you look, if she's immature because of it, right? Because she's still looking for the same kind of like high school validation that like everyone else wants.",45,0.9415864944458008,07/17/21,21:52,210717_2152.wav
" So she's going to, she's going to, she's going to want to be.",13,0.957452654838562,07/17/21,21:52,210717_2152.wav
 She is going to want to be.,7,0.9823617935180664,07/17/21,21:52,210717_2152.wav
" The one she will never give up on anything that's on the fronts to hot. Like idea of self idea of like who she is in a social situation, right? So she will build that community and she'll be like fuck you. Everyone else, you know that I warned you.",50,0.937544047832489,07/17/21,21:52,210717_2152.wav
" And I'm so she's never going to give up. I know that for sure. She's never going to give up on that. If there is a fight you will always stand. Upright the occasion cuz she's a, she's a strong woman, that's what she does, right? I mean, we can all the ways but strong in the sense that he won't back down from a fight.",66,0.9295547604560852,07/17/21,21:52,210717_2152.wav
" and,",1,0.8105166554450989,07/17/21,21:52,210717_2152.wav
" He's always going to be more willing to cross that moral, boundary and say the fucked-up thing, then he want.",20,0.904162585735321,07/17/21,21:52,210717_2152.wav
" And you not going to win the game because she's never going to stop playing. Yes, but everything that you say she's going to say something even more fucked up, even even great, that even though, whatever. And it's something you think she's always try to one-up. You that nothing you can say and do in terms of like attacking that no attack strategy yet. The only strategy there is this really like a defensive one and a kind of one that like allows you to just like",88,0.9559642672538756,07/17/21,21:52,210717_2152.wav
" How do I navigate this and make her think that she's like accepted and that she's loved and not used to cure. And once he feels like he's ashore and not going to be left, alone can be whatever in whatever situation she hasn't, you don't give a shit about you. But as of yet, you are like a danger to her like idea of how mental health, how idea of like, you know,",74,0.9395742416381836,07/17/21,21:52,210717_2152.wav
 I really wanted.,3,0.8233506679534912,07/17/21,21:52,210717_2152.wav
" At the end of the day, I think she's confident that she has the month connects in the other connection that we win the Battle of friends and that's what you did, right?",33,0.8237382769584656,07/17/21,21:52,210717_2152.wav
 She want how you doing?,5,0.8641014099121094,07/17/21,21:52,210717_2152.wav
 Dallas do that was chilling.,5,0.7169783115386963,07/17/21,21:52,210717_2152.wav
 Eric Schmidt.,2,0.7872253656387329,07/17/21,21:52,210717_2152.wav
 The ones that let me just.,6,0.4831777513027191,07/17/21,21:52,210717_2152.wav
" I'm not putting nothing. The power of the city, I think it just makes the story. It always has built the story around to it in a build you a fucking story.",32,0.8905919790267944,07/17/21,21:52,210717_2152.wav
" Yeah, I mean it's always a fucking story and that that's that's what I fucking love about New York. There's always like a little story little like moments in the movie that serve just pop you buy and you're like, oh my God, I'm in the movie, you know, I'm talked. I'm the fucking lead in the movie.",58,0.9543229937553406,07/17/21,21:52,210717_2152.wav
" But you know, like it looks like right now right now. Thank you. Feel like you're the lead in the movie.",21,0.8251627683639526,07/17/21,21:52,210717_2152.wav
 It's a psychic.,3,0.7487896084785461,07/17/21,21:52,210717_2152.wav
" Honestly, this is beautiful. Yeah, I did.",7,0.9851208925247192,07/17/21,21:52,210717_2152.wav
" Honey, the widest setting.",4,0.5775100588798523,07/17/21,21:52,210717_2152.wav
 Scary clown.,2,0.5114399194717407,07/17/21,21:52,210717_2152.wav
" Like I'm telling you that, so that's what I wanted. I wanted fucking single",14,0.764480471611023,07/17/21,21:52,210717_2152.wav
 Fuck the fuck poses.,4,0.9270529747009276,07/17/21,21:52,210717_2152.wav
 What's the what's the Subway?,5,0.637120246887207,07/17/21,21:52,210717_2152.wav
" My camera is like, I'm going to make your life, a living hell.",13,0.8388976454734802,07/17/21,21:52,210717_2152.wav
 Nobody.,1,0.4488325119018554,07/17/21,21:52,210717_2152.wav
" Get them confused about. The fact of the matter is, like,",11,0.8922235369682312,07/17/21,21:52,210717_2152.wav
 DeAndre proposing in a,4,0.6594200134277344,07/17/21,21:52,210717_2152.wav
" Yeah, she said some horrible things.",6,0.9565940499305724,07/17/21,21:52,210717_2152.wav
 This is so clear.,4,0.8278856873512268,07/17/21,21:52,210717_2152.wav
 God love.,2,0.8211463689804077,07/17/21,21:52,210717_2152.wav
 On the way out.,4,0.8736206889152527,07/17/21,21:52,210717_2152.wav
 That one.,2,0.91377055644989,07/17/21,21:52,210717_2152.wav
" Take me to 1 Uptown. Yeah, come",7,0.8218892216682434,07/17/21,21:52,210717_2152.wav
"Yeah, I know, I remember that. We were like, oh my God, this person is crazy.",16,0.8977420330047607,07/16/21,18:56,210716_1856.wav
" Yeah, I did.",3,0.9214063286781312,07/16/21,18:56,210716_1856.wav
" Yeah, I know not she's but again I also like it and he's also kind of like all she needs to grow up but you know I actually thought they got like this. It's really funny. Actually as she stopped to get this like feel like oh my God. And you know, I might not be able to do my creative stop, you know. Now she's getting into Finance.",69,0.941487431526184,07/16/21,18:56,210716_1856.wav
" Because like she liked by all the rides at the craziest stuff but like it feels those you can't do it cuz I've been yeah and she wants to like and then she realize like as soon as I don't get bankroll by my parents, I got to like figure out a way to like make money to support. I like expensive and all around and around lifestyle and so she's like oh you know, I'm going to join the bathroom Club in about doing that shit.",87,0.9370070099830629,07/16/21,18:56,210716_1856.wav
 It's like the typical like I told us so funny cuz I previous like a dream was like you know by Avi and buy a bunch of books and sell books and stopping.,33,0.940337300300598,07/16/21,18:56,210716_1856.wav
" Because I think she sees it as a dream and not his real life. And so she somehow undercut, therefore, I saw",22,0.8791122436523438,07/16/21,18:56,210716_1856.wav
 Exactly.,1,0.973563551902771,07/16/21,18:56,210716_1856.wav
" Yeah, I see how it's like a I see that I was I was like, at least you won't like the sports molded, like videos of like people. We like grow really do things. This one guy who wasn't like Morgan Stanley, Watson Morgan Stanley in the World Trade Center 9/11 happened and he's like oh shit, you know? And so he",62,0.9343785047531128,07/16/21,18:56,210716_1856.wav
" Exactly. And that's exactly what he's had on the, on the, on the thing.",14,0.8627988696098328,07/16/21,18:56,210716_1856.wav
" What's wrong? You look cute. And also the author was. He like he went back to like it's on his uncles and stuff and trying to sound like dumpling shop. That became like on the best dumpling shops. You know, I think Angie's Angie's going to be like him. I think she's going to",54,0.9206503629684448,07/16/21,18:56,210716_1856.wav
 That Monster again.,3,0.7459668517112732,07/16/21,18:56,210716_1856.wav
 I'm sorry.,2,0.5755988359451294,07/16/21,18:56,210716_1856.wav
" Oh my God, that's such a nice stuff though.",9,0.9757215976715088,07/16/21,18:56,210716_1856.wav
" We got that all the time that is, what kind of little bit then we'll sit outside. I said it was open, so",23,0.8603056073188782,07/16/21,18:56,210716_1856.wav
 really with the child think.,5,0.8526624441146851,07/16/21,18:56,210716_1856.wav
 Oh my God.,3,0.9583585858345032,07/16/21,18:56,210716_1856.wav
 It's so cute.,3,0.9814586639404296,07/16/21,18:56,210716_1856.wav
" And just kind of like one of those people who would like in the seventies would like, Consultants, but like, would ya?",22,0.9091857671737672,07/16/21,18:56,210716_1856.wav
 You don't know what that means. You happy.,8,0.9005751609802246,07/16/21,18:56,210716_1856.wav
 Buy corporate.,2,0.6016144156455994,07/16/21,18:56,210716_1856.wav
" I get corporate. Yeah, I know. She's she's like that. So it's like",13,0.8293012380599976,07/16/21,18:56,210716_1856.wav
" I don't trust her character. I don't think she has a strong strong in Title Character and that makes it interesting because she's open to things and see changes and she's like developing and everything that makes it exciting Rosa, make it like on reliable and you feel like",49,0.921193778514862,07/16/21,18:56,210716_1856.wav
 Genesis.,1,0.4281113147735595,07/16/21,18:56,210716_1856.wav
" Now that's I feel like that's that's that's like the liberal arts experience, right?",14,0.8598632216453552,07/16/21,18:56,210716_1856.wav
 That person with a mustache.,5,0.8391302824020386,07/16/21,18:56,210716_1856.wav
" When you go to India, I'm going to be like stop the game.",13,0.860848069190979,07/16/21,18:56,210716_1856.wav
" Oh my God, not man.",5,0.9413995742797852,07/16/21,18:56,210716_1856.wav
 What kind of vodka do when I woke to no crown that pluck?,13,0.8299192190170288,07/16/21,18:56,210716_1856.wav
 So am I?,3,0.9836020469665528,07/16/21,18:56,210716_1856.wav
" yeah, but",2,0.9407335519790648,07/16/21,18:56,210716_1856.wav
" Alanis is like,",3,0.8708805441856384,07/16/21,18:56,210716_1856.wav
" The first. I know, you know what I mean?",9,0.9481593370437622,07/16/21,18:56,210716_1856.wav
 Why?,1,0.9139412641525269,07/16/21,18:56,210716_1856.wav
" No, cuz we're going to meet family and stuff, right?",10,0.74712073802948,07/16/21,18:56,210716_1856.wav
" yeah, but I think it's weird if you accompanying us and you doing mostly family things, you know, and I'm not paying no",23,0.9194819331169128,07/16/21,18:56,210716_1856.wav
 I don't think it's weird that you're coming.,8,0.9786943197250366,07/16/21,18:56,210716_1856.wav
" Of course, if I'm of that my dad mom actually love you. Oh my God. I, so I felt like I not that happy. Are you kidding me? Another person to talk to in the family.",36,0.8958391547203064,07/16/21,18:56,210716_1856.wav
" You know what the something is riding like bones and like caucuses of animals that stuff on the floor, that's really funny.",22,0.891654908657074,07/16/21,18:56,210716_1856.wav
 Hilarious. A little like it.,5,0.7989400625228882,07/16/21,18:56,210716_1856.wav
" this thing I know this this event go down so I was just really, really",15,0.8585521578788757,07/16/21,18:56,210716_1856.wav
" She's obviously like a super fucking wealthy. You know, someone who's like she likes to text but she's play. The anorexic has that like chinchilla thing.",26,0.8488655686378479,07/16/21,18:56,210716_1856.wav
" Little chinchilla thing, you know, and she's like wearing what? Your gold. She's like, soup. I would have a dainty like walking like this.",24,0.9092209935188292,07/16/21,18:56,210716_1856.wav
 And how does a Chinchilla dog? I love what I was happening.,12,0.7204553484916687,07/16/21,18:56,210716_1856.wav
 But this little chinchilla thing.,5,0.8916865587234497,07/16/21,18:56,210716_1856.wav
" Yeah, Chihuahua, whatever runs up on these dead like Bud caucuses, kick it out of his mouth and Mike is having his whatever the change and chinchilla chihuahua. Having so much fun running around to looping around like that. The leash like around her legs, like running around, you know, and doing all this like an hour. I was thought it was good. She was going to be like what is it to do with a golf playing and eating in like a wrecking up the bones of this? Like a pop the case and it was so funny cuz it was like",103,0.9564022421836852,07/16/21,18:56,210716_1856.wav
" That's what that's supposed to be about, right? But it was just a",13,0.8534568548202515,07/16/21,18:56,210716_1856.wav
" The dogs. Yeah, it wasn't really going to like pretty much what we wear the mask that someone one of the streets is popping contradictions of like of New York in like, a civilization versus like him. What we think is in a dispute, living like a dog thing. It was a great look at the Moon.",57,0.9260665774345398,07/16/21,18:56,210716_1856.wav
 I'm thinking.,2,0.9526779055595398,07/16/21,18:56,210716_1856.wav
 Cava.,1,0.6530535817146301,07/16/21,18:56,210716_1856.wav
 I want to unpack and Nieman.,6,0.8442509174346924,07/16/21,18:56,210716_1856.wav
 I'd be a phone conversation. I want to smoke.,9,0.848801851272583,07/16/21,18:56,210716_1856.wav
" Of course, I know. No, I would not tell her that. I'm seeing them in tomorrow that the opposite. I will know all about it and I'm not seeing him but I'm not seeing him tomorrow, okay?",37,0.9231940507888794,07/16/21,18:56,210716_1856.wav
 And I want to smoke.,5,0.9721495509147644,07/16/21,18:56,210716_1856.wav
" Maybe go do the classic soccer ball thing, maybe. Oh, you can because I D but like another ID.",19,0.7602799534797668,07/16/21,18:56,210716_1856.wav
 it's it's it's better to just like I'm I'm not sure what we do often with I'm thinking,18,0.8693022727966309,07/16/21,18:56,210716_1856.wav
" Yeah, we can go.",4,0.9709799289703368,07/16/21,18:56,210716_1856.wav
 I think we're meant to get dinner. I'm not sure about that.,12,0.9375858902931212,07/16/21,18:56,210716_1856.wav
" Dallas, we can go get Ramen or something. Why do you want to go for dinner? That's something we got that. I don't I don't want I want to make it like a nice.",34,0.9108872413635254,07/16/21,18:56,210716_1856.wav
 Concise.,1,0.8504070043563843,07/16/21,18:56,210716_1856.wav
" Yeah, exactly. Go with running. We have to go, we have to go meet up. I think about you an old friend who's leaving",24,0.8989110589027405,07/16/21,18:56,210716_1856.wav
" Of course, it's a pastor.",5,0.8387067914009094,07/16/21,18:56,210716_1856.wav
 Always at the PowerPlay.,4,0.8501669764518738,07/16/21,18:56,210716_1856.wav
 It's not being like fast.,5,0.7076691389083862,07/16/21,18:56,210716_1856.wav
" Because that sociality man. Well, trying to game up.",9,0.8327653408050537,07/16/21,18:56,210716_1856.wav
 No. No. I am not saying that the bad way. Doing what are you? What are you doing?,18,0.8409042358398438,07/16/21,18:56,210716_1856.wav
" Vertebrates. That's you shouldn't in the, get some paper.",9,0.8126246929168701,07/16/21,18:56,210716_1856.wav
 I can do that cuz I'm also kind of,9,0.8610475063323975,07/16/21,18:56,210716_1856.wav
 Thank.,1,0.4288535714149475,07/16/21,18:56,210716_1856.wav
 This is huge. Much was this Gucci bloom.,8,0.8612836003303528,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.4945187568664551,07/16/21,18:56,210716_1856.wav
" Yes, no Badness finite. That's what I expected.",8,0.7577427625656128,07/16/21,18:56,210716_1856.wav
" Oh, I do want to get that box of perfume.",10,0.978984236717224,07/16/21,18:56,210716_1856.wav
" It's on the street, I think.",6,0.982908308506012,07/16/21,18:56,210716_1856.wav
 It's one street down. Yeah.,5,0.8234394192695618,07/16/21,18:56,210716_1856.wav
" Yeah, let me just got my phone so I don't miss something.",12,0.8483970761299133,07/16/21,18:56,210716_1856.wav
 I wasn't feeling great.,4,0.6629450917243958,07/16/21,18:56,210716_1856.wav
 I loved like a contributing to this proposal story with my professor.,12,0.8731022477149963,07/16/21,18:56,210716_1856.wav
" Yeah, I worked a little bit on. That is so great.",11,0.8640698790550232,07/16/21,18:56,210716_1856.wav
" Yeah, so much fun.",4,0.603568434715271,07/16/21,18:56,210716_1856.wav
" No, it's just I like to do everything the code and test cases and some of us want that sounds like it'd be active and like help out with taxes. So fun.",32,0.9137235879898072,07/16/21,18:56,210716_1856.wav
" Yeah. I hope so and might not do anything like that. Anyway,",12,0.7618222832679749,07/16/21,18:56,210716_1856.wav
" Oh yeah, yeah, it depends, depends what the ID policy is, right?",12,0.8750634789466858,07/16/21,18:56,210716_1856.wav
 How's it going straight down?,5,0.8178725242614746,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.8492657542228699,07/16/21,18:56,210716_1856.wav
" yeah, and it doesn't pay like fantastically but like,",9,0.8319067358970642,07/16/21,18:56,210716_1856.wav
" Yeah, that's what I'm saying. It's it's it's fine the whole the whole bit. Yeah. I mean the hope is that I can do some days and stuff as well, you know? I'm so you got service light",38,0.9007071256637573,07/16/21,18:56,210716_1856.wav
" You know, a lot of people end up, you know, it says he's surprising. How many people end up like stopped walking in a career appeal to what I meant because I mean just doesn't pay them.",37,0.8590219616889954,07/16/21,18:56,210716_1856.wav
 It just doesn't pay enough and you're used to it something yeah.,12,0.9538835883140564,07/16/21,18:56,210716_1856.wav
" Anti. I'm just I'm just trying to head to my bed so I can do like whatever I want. The hope is that I can like forgive you like even if I'm just doing a box John list, the thing, you know, and I can do do that chops in the daytime collect Dawson.",54,0.92728590965271,07/16/21,18:56,210716_1856.wav
 So funny.,2,0.8551416993141174,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.8150755763053894,07/16/21,18:56,210716_1856.wav
" I'm really happy it's going to be, it's going to be fantastic.",12,0.8016050457954407,07/16/21,18:56,210716_1856.wav
 Explorer of the Bud. Light guy.,6,0.6187658309936523,07/16/21,18:56,210716_1856.wav
" Yes, really powerful.",3,0.9427230954170228,07/16/21,18:56,210716_1856.wav
" Yeah, exactly.",2,0.9474470019340516,07/16/21,18:56,210716_1856.wav
 I checked that out before it was. Yeah.,8,0.9125160574913024,07/16/21,18:56,210716_1856.wav
 What can you do?,4,0.9868175983428956,07/16/21,18:56,210716_1856.wav
" Yeah, it's not the box out and I'm going to end up as like in the dark just like topping out, just like it. So it Trump did this again, which I give zero Fox about, you know, and so like I want to create the story. I don't want to receive the story, you know. That's what I want to do. I don't want to. That's why I want to be on the front lines of the story. I don't want to be",84,0.9464608430862428,07/16/21,18:56,210716_1856.wav
" yeah, if I go back inside of a cheap fault that they tow, if I had that Lino and get more formally, stay a bit longer and do them a couple more like interviews, like that prisons and do some actual I can place a cube has a stop at so I can prove",54,0.9274975061416626,07/16/21,18:56,210716_1856.wav
 material things on the ground. You know and I think tracking ngos and debunking them is going to be something that's so fun you know. But anyway how did you finish your AutoCAD?,33,0.9184364080429076,07/16/21,18:56,210716_1856.wav
 All the time now.,4,0.6015595197677612,07/16/21,18:56,210716_1856.wav
" Oh, it's closed down.",4,0.8039988279342651,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.7618194818496704,07/16/21,18:56,210716_1856.wav
 No.,1,0.5418158173561096,07/16/21,18:56,210716_1856.wav
" Yeah, let's go that way again cuz I don't want to walk in that street.",15,0.9510260820388794,07/16/21,18:56,210716_1856.wav
 That's fantastic. You tied up the bone and feeling like,10,0.902666449546814,07/16/21,18:56,210716_1856.wav
" Yeah, and it turned out much better than expected, right?",10,0.9630595445632936,07/16/21,18:56,210716_1856.wav
 Start doing work.,3,0.7527399063110352,07/16/21,18:56,210716_1856.wav
 Is that it?,3,0.70353764295578,07/16/21,18:56,210716_1856.wav
" There you go. I mean and I'm really, it's kind of fun when you conquer that with a cat or whatever, right?",22,0.8139326572418213,07/16/21,18:56,210716_1856.wav
" Yeah, it's like",3,0.9043922424316406,07/16/21,18:56,210716_1856.wav
" You snapped off a level, you no longer that I'm at. You begin an amateur. You like oh you're at like",21,0.8614187836647034,07/16/21,18:56,210716_1856.wav
" From the beginning to the amateur. Yeah, exactly.",8,0.8679168820381165,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.8487439751625061,07/16/21,18:56,210716_1856.wav
" Cousins on 2nd and under thing. Isn't the higher and faster you get with a shit. It's like in the new, do the, whatever this program. You. You just ain't jumping up until you are at the point. We can do whatever you want.",44,0.8904168605804443,07/16/21,18:56,210716_1856.wav
 Right.,1,0.8348105549812317,07/16/21,18:56,210716_1856.wav
 How much?,2,0.9751272201538086,07/16/21,18:56,210716_1856.wav
 23.,1,0.6403209567070007,07/16/21,18:56,210716_1856.wav
 A fast. And then I tell like 950,8,0.8213262557983398,07/16/21,18:56,210716_1856.wav
 Okay.,1,0.8545274138450623,07/16/21,18:56,210716_1856.wav
 Really.,1,0.9876290559768676,07/16/21,18:56,210716_1856.wav
 People are ridiculous.,3,0.9795072674751282,07/16/21,18:56,210716_1856.wav
 That's what you should never follow Trends in Tik-Tok in some way because they have they were shelf life.,19,0.880611002445221,07/16/21,18:56,210716_1856.wav
" Except for the ones you do yourself. I mean,",9,0.937244176864624,07/16/21,18:56,210716_1856.wav
 Or forgot long time like this defense.,7,0.8341936469078064,07/16/21,18:56,210716_1856.wav
" I mean like seventies. Yeah, exactly.",6,0.8771511912345886,07/16/21,18:56,210716_1856.wav
" Hi, how are you guys? What are you guys doing here?",11,0.9775844812393188,07/16/21,18:56,210716_1856.wav
 Awesome.,1,1.0,07/16/21,18:56,210716_1856.wav
" Guess everyone's around there, right? This is Sanjay.",8,0.8098196983337402,07/16/21,18:56,210716_1856.wav
 Set with what you guys walking. What are you guys doing here?,12,0.7926797866821289,07/16/21,18:56,210716_1856.wav
 Air pressure.,2,0.6012367010116577,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.8493137359619141,07/16/21,18:56,210716_1856.wav
" Oh beautiful. Okay, I'm doing a gold thing. I'm not tracking my speech and then making like a dying language model on it. So you know, it's a tough generate speech and stop and look at psychological diagnosis and stuff, but you'll be cool. Yeah, I'm excited about that. Yeah, but that's it. It's, it's crazy. I'm just seeing people all around all around or just buy me a Mercury, if, you know her.",74,0.9455088973045348,07/16/21,18:56,210716_1856.wav
" Yeah, there you go. Why you guys living? I see mister",11,0.7829155325889587,07/16/21,18:56,210716_1856.wav
" Departments are beautiful. Yeah, you also promised but we we got the one able to get the big Apartments, but they were these apartment doubles.",25,0.8654826283454895,07/16/21,18:56,210716_1856.wav
" No, no there in the senior apartments, but no one found them until they were just left, empty. Even though we had a horrible time because that only it fit, two people, not for people, so no one felt them. So it's it's kind of a Kind of Crazy.",49,0.9334090948104858,07/16/21,18:56,210716_1856.wav
 But we have to go by his wonderful to meet you guys.,12,0.8587043881416321,07/16/21,18:56,210716_1856.wav
" okay, I don't know who the stupid three people but like",11,0.7968971729278564,07/16/21,18:56,210716_1856.wav
 I like there is nothing like ocmd people.,8,0.8622417449951172,07/16/21,18:56,210716_1856.wav
" Yeah, I know, but I don't have a connection. I don't have like I don't have like if I wish I was working on a project with them cuz then I could like the bay and then",37,0.9335985779762268,07/16/21,18:56,210716_1856.wav
" yeah, but without that you conscious I can sit down with them and just",14,0.9432581663131714,07/16/21,18:56,210716_1856.wav
 Parking.,1,0.8451924920082092,07/16/21,18:56,210716_1856.wav
" Yeah, I just want to be polite cuz she met she got contact lenses done. Yeah, probably.",17,0.8179432153701782,07/16/21,18:56,210716_1856.wav
 And that too quickly.,4,0.7954189777374268,07/16/21,18:56,210716_1856.wav
 I just got to end it.,6,0.8661627769470215,07/16/21,18:56,210716_1856.wav
 Thank you.,2,0.9732283353805542,07/16/21,18:56,210716_1856.wav
 Yeah.,1,0.5494332909584045,07/16/21,18:56,210716_1856.wav
" It's. I just head out one question. I'm like, okay, one question. 1 2 questions enough? Why do you live? That's it.",22,0.918939769268036,07/16/21,18:56,210716_1856.wav
" No more, no less.",4,0.7796648740768433,07/16/21,18:56,210716_1856.wav
 Department.,1,0.6564949750900269,07/16/21,18:56,210716_1856.wav
 Probably on going.,3,0.7065189480781555,07/16/21,18:56,210716_1856.wav
 Probably somebody walks that are something. They're not be able to just chill here all the time.,17,0.8066502809524536,07/16/21,18:56,210716_1856.wav
 It's kind of crazy.,4,0.9417178630828856,07/16/21,18:56,210716_1856.wav
 Should be done at 7:30 and then she needs to walk cam.,12,0.9227027297019958,07/16/21,18:56,210716_1856.wav
 I know. She said she's in the cafe in Lower East Side.,12,0.9267256259918212,07/16/21,18:56,210716_1856.wav
" so,",1,0.885383129119873,07/16/21,18:56,210716_1856.wav
 Then we'll take a tiny bit more.,7,0.9131966829299928,07/16/21,18:56,210716_1856.wav
 Both.,1,0.5095199346542358,07/16/21,18:56,210716_1856.wav
" And they have a thing on top that says, whatever. Cuz I don't want to buy, I don't know by musket. We have so much CBD. Plus I have weed, that's the plan. That's the only plan I have them.",40,0.9134321212768556,07/16/21,18:56,210716_1856.wav
 That's so funny.,3,0.9598787426948548,07/16/21,18:56,210716_1856.wav
 I love you.,3,0.9653971195220948,07/16/21,18:56,210716_1856.wav
 I'm 10 out that one.,5,0.8538514375686646,07/16/21,18:56,210716_1856.wav
 I was just walking around here. That's like my favorite thing to do.,13,0.8438957929611206,07/16/21,18:56,210716_1856.wav
 New York right now.,4,0.6712243556976318,07/16/21,18:56,210716_1856.wav
 I'm not sick is open. Is it time to get Yaya? Is there is it here?,16,0.7473958134651184,07/16/21,18:56,210716_1856.wav
 I'm glad you have the train to.,7,0.8703122735023499,07/16/21,18:56,210716_1856.wav
 Are we going to wait around and see if we can get a seat?,14,0.781376838684082,07/16/21,18:56,210716_1856.wav
 I'm looking at receipt.,4,0.4248923063278198,07/16/21,18:56,210716_1856.wav
" Yeah, let's do that. Actually",5,0.94224613904953,07/16/21,18:56,210716_1856.wav
 Let's do it.,3,0.9644786715507508,07/16/21,18:56,210716_1856.wav
" No, I think it will probably take it, like, 5-10 minutes to get here.",14,0.8548580408096313,07/16/21,18:56,210716_1856.wav
" Yeah, how much time you can get a single?",9,0.8898789882659912,07/16/21,18:56,210716_1856.wav
" Yeah I know shit I love him and I love orchestrating things that you make social interaction. So much more fun because it's like it, we can like build everything.",30,0.9031341671943665,07/16/21,18:56,210716_1856.wav
